Epoch: [0][0/126]	Time 1.643 (1.643)	Data 1.448 (1.448)	Loss 0.210019991 (0.210019991)	
Epoch: [0][25/126]	Time 1.588 (1.591)	Data 1.421 (1.423)	Loss 123340.234375000 (4044100.679952692)	
Epoch: [0][50/126]	Time 1.589 (1.590)	Data 1.422 (1.423)	Loss 10617.068359375 (2086131.326613443)	
Epoch: [0][75/126]	Time 1.587 (1.590)	Data 1.421 (1.423)	Loss 742.498718262 (1401352.695290790)	
Epoch: [0][100/126]	Time 1.591 (1.590)	Data 1.424 (1.423)	Loss 312.932434082 (1054635.524323397)	
Epoch: [0][125/126]	Time 0.628 (1.582)	Data 0.537 (1.416)	Loss 121.282272339 (849626.175454410)	
Epoch: [1][0/126]	Time 1.582 (1.582)	Data 1.415 (1.415)	Loss 85.963813782 (85.963813782)	
Epoch: [1][25/126]	Time 1.593 (1.588)	Data 1.427 (1.422)	Loss 52.139137268 (90.604200950)	
Epoch: [1][50/126]	Time 1.591 (1.589)	Data 1.424 (1.422)	Loss 37.481758118 (69.377525928)	
Epoch: [1][75/126]	Time 1.591 (1.589)	Data 1.425 (1.422)	Loss 43.896057129 (63.501805607)	
Epoch: [1][100/126]	Time 1.595 (1.589)	Data 1.429 (1.423)	Loss 33.681446075 (57.024541572)	
Epoch: [1][125/126]	Time 0.627 (1.581)	Data 0.536 (1.416)	Loss 20.188747406 (51.864330642)	
Epoch: [2][0/126]	Time 1.595 (1.595)	Data 1.429 (1.429)	Loss 26.065036774 (26.065036774)	
Epoch: [2][25/126]	Time 1.585 (1.589)	Data 1.419 (1.422)	Loss 23.031642914 (27.813521972)	
Epoch: [2][50/126]	Time 1.593 (1.589)	Data 1.426 (1.422)	Loss 18.321275711 (27.423874575)	
Epoch: [2][75/126]	Time 1.584 (1.589)	Data 1.418 (1.422)	Loss 15.422060966 (27.482099483)	
Epoch: [2][100/126]	Time 1.579 (1.589)	Data 1.412 (1.422)	Loss 23.831769943 (25.539662125)	
Epoch: [2][125/126]	Time 0.628 (1.581)	Data 0.537 (1.415)	Loss 16.191293716 (24.360084981)	
Epoch: [3][0/126]	Time 1.593 (1.593)	Data 1.427 (1.427)	Loss 10.653035164 (10.653035164)	
Epoch: [3][25/126]	Time 1.589 (1.589)	Data 1.423 (1.422)	Loss 13.337930679 (14.844570380)	
Epoch: [3][50/126]	Time 1.584 (1.590)	Data 1.417 (1.423)	Loss 10.849756241 (14.417968039)	
Epoch: [3][75/126]	Time 1.589 (1.590)	Data 1.423 (1.423)	Loss 9.525087357 (14.852706897)	
Epoch: [3][100/126]	Time 1.592 (1.590)	Data 1.425 (1.423)	Loss 15.663526535 (14.286938545)	
Epoch: [3][125/126]	Time 0.626 (1.582)	Data 0.536 (1.416)	Loss 8.858046532 (13.764009433)	
Epoch: [4][0/126]	Time 1.583 (1.583)	Data 1.417 (1.417)	Loss 9.927740097 (9.927740097)	
Epoch: [4][25/126]	Time 1.586 (1.588)	Data 1.419 (1.421)	Loss 8.317223549 (10.636864937)	
Epoch: [4][50/126]	Time 1.604 (1.589)	Data 1.437 (1.423)	Loss 11.214464188 (12.779927506)	
Epoch: [4][75/126]	Time 1.582 (1.591)	Data 1.415 (1.424)	Loss 7.391513348 (11.996557568)	
Epoch: [4][100/126]	Time 1.586 (1.590)	Data 1.419 (1.424)	Loss 14.442167282 (11.811961486)	
Epoch: [4][125/126]	Time 0.624 (1.582)	Data 0.533 (1.416)	Loss 10.986319542 (11.201600449)	
Epoch: [5][0/126]	Time 1.590 (1.590)	Data 1.423 (1.423)	Loss 5.350292206 (5.350292206)	
Epoch: [5][25/126]	Time 1.588 (1.589)	Data 1.422 (1.422)	Loss 6.542592049 (8.744654472)	
Epoch: [5][50/126]	Time 1.594 (1.589)	Data 1.428 (1.422)	Loss 6.202644825 (8.086528778)	
Epoch: [5][75/126]	Time 1.588 (1.590)	Data 1.422 (1.424)	Loss 7.422373295 (7.552038331)	
Epoch: [5][100/126]	Time 1.589 (1.590)	Data 1.422 (1.424)	Loss 5.932598114 (7.317590813)	
Epoch: [5][125/126]	Time 0.631 (1.583)	Data 0.540 (1.417)	Loss 4.475353718 (7.198377487)	
Epoch: [6][0/126]	Time 1.602 (1.602)	Data 1.435 (1.435)	Loss 3.306160450 (3.306160450)	
Epoch: [6][25/126]	Time 1.586 (1.591)	Data 1.419 (1.424)	Loss 5.885992050 (6.043271285)	
Epoch: [6][50/126]	Time 1.590 (1.590)	Data 1.423 (1.424)	Loss 5.434051514 (5.616000755)	
Epoch: [6][75/126]	Time 1.590 (1.591)	Data 1.422 (1.424)	Loss 4.170793533 (5.444143502)	
Epoch: [6][100/126]	Time 1.591 (1.591)	Data 1.424 (1.424)	Loss 3.288410187 (5.419646355)	
Epoch: [6][125/126]	Time 0.621 (1.583)	Data 0.531 (1.417)	Loss 3.704364300 (5.263212859)	
Epoch: [7][0/126]	Time 1.586 (1.586)	Data 1.419 (1.419)	Loss 7.911518097 (7.911518097)	
Epoch: [7][25/126]	Time 1.589 (1.588)	Data 1.423 (1.422)	Loss 4.098098755 (4.146425137)	
